activity_ts,activity_type,active_Kcal,step_count,distance_m,duration_s,active_time_s,start_time_s,start_time_offset_s,met,intensity,motion_intensity_mean,motion_intensity_max
01/10/2023 05:45,SEDENTARY,0,0,0,900,900,1696135500,3600,1,SEDENTARY,0,2
01/10/2023 06:00,SEDENTARY,0,0,0,900,900,1696136400,3600,1,SEDENTARY,0,1
01/10/2023 06:15,SEDENTARY,0,0,0,900,900,1696137300,3600,1,SEDENTARY,0,3
01/10/2023 06:30,SEDENTARY,0,0,0,900,900,1696138200,3600,1,SEDENTARY,0,4
01/10/2023 06:45,SEDENTARY,0,0,0,900,900,1696139100,3600,1,SEDENTARY,0,3
01/10/2023 07:00,SEDENTARY,0,0,0,900,900,1696140000,3600,1,SEDENTARY,0,0
01/10/2023 07:15,SEDENTARY,0,0,0,900,900,1696140900,3600,1,SEDENTARY,0,4
01/10/2023 07:30,SEDENTARY,0,0,0,900,900,1696141800,3600,1,SEDENTARY,0,2
01/10/2023 07:45,SEDENTARY,0,0,0,900,900,1696142700,3600,1,SEDENTARY,0,3
01/10/2023 08:00,SEDENTARY,0,0,0,900,900,1696143600,3600,1,SEDENTARY,0,4
01/10/2023 08:15,WALKING,1,19,13.7,900,60,1696144500,3600,1.8801957,ACTIVE,4,4
01/10/2023 08:15,SEDENTARY,0,0,0,900,840,1696144500,3600,1,SEDENTARY,0,4
01/10/2023 08:30,SEDENTARY,0,0,0,900,900,1696145400,3600,1,SEDENTARY,0,4
01/10/2023 08:45,SEDENTARY,0,0,0,900,900,1696146300,3600,1,SEDENTARY,0,2
01/10/2023 09:00,SEDENTARY,0,0,0,900,900,1696147200,3600,1,SEDENTARY,0,1
01/10/2023 09:15,SEDENTARY,0,0,0,900,900,1696148100,3600,1,SEDENTARY,0,0
01/10/2023 09:30,SEDENTARY,0,0,0,900,900,1696149000,3600,1,SEDENTARY,0,3
01/10/2023 09:45,SEDENTARY,0,0,0,900,900,1696149900,3600,1,SEDENTARY,0,5
01/10/2023 10:00,WALKING,2,52,37.49,900,45,1696150800,3600,3.3471882,ACTIVE,3,3
01/10/2023 10:00,SEDENTARY,0,0,0,900,855,1696150800,3600,1,SEDENTARY,0,5
01/10/2023 10:15,WALKING,0,4,2.88,900,6,1696151700,3600,1,ACTIVE,0,0
01/10/2023 10:15,SEDENTARY,0,0,0,900,894,1696151700,3600,1,SEDENTARY,0,2
01/10/2023 10:30,WALKING,0,6,4.33,900,9,1696152600,3600,1,ACTIVE,0,0
01/10/2023 10:30,SEDENTARY,0,0,0,900,891,1696152600,3600,1,SEDENTARY,0,5
01/10/2023 10:45,WALKING,3,64,46.14,900,90,1696153500,3600,2.760391,ACTIVE,2,2
01/10/2023 10:45,SEDENTARY,0,0,0,900,810,1696153500,3600,1,SEDENTARY,0,5
01/10/2023 11:00,WALKING,3,92,66.32,900,150,1696154400,3600,2.0562348,ACTIVE,1.5,2
01/10/2023 11:00,SEDENTARY,0,0,0,900,750,1696154400,3600,1,SEDENTARY,0,5
01/10/2023 11:15,WALKING,4,235,169.41,900,250,1696155300,3600,1.8449878,ACTIVE,2.4,3
01/10/2023 11:15,SEDENTARY,0,0,0,900,650,1696155300,3600,1,SEDENTARY,0,5
01/10/2023 11:30,SEDENTARY,0,0,0,900,900,1696156200,3600,1,SEDENTARY,0,0
01/10/2023 11:45,SEDENTARY,0,0,0,900,900,1696157100,3600,1,SEDENTARY,0,0
01/10/2023 12:00,SEDENTARY,0,0,0,900,900,1696158000,3600,1,SEDENTARY,0,0
01/10/2023 12:15,SEDENTARY,0,0,0,900,900,1696158900,3600,1,SEDENTARY,0,0
01/10/2023 12:30,SEDENTARY,0,0,0,900,900,1696159800,3600,1,SEDENTARY,0,3
01/10/2023 12:45,SEDENTARY,0,0,0,900,900,1696160700,3600,1,SEDENTARY,0,0
01/10/2023 13:00,SEDENTARY,0,0,0,900,900,1696161600,3600,1,SEDENTARY,0,1
01/10/2023 13:15,SEDENTARY,0,0,0,900,900,1696162500,3600,1,SEDENTARY,0,1
01/10/2023 13:30,WALKING,7,213,153.56,900,195,1696163400,3600,2.8958058,ACTIVE,2.7,3
01/10/2023 13:30,SEDENTARY,0,0,0,900,705,1696163400,3600,1,SEDENTARY,0,7
01/10/2023 13:45,WALKING,3,142,102.36,900,115,1696164300,3600,2.3776977,ACTIVE,2.5,3
01/10/2023 13:45,SEDENTARY,0,0,0,900,785,1696164300,3600,1,SEDENTARY,0,5
01/10/2023 14:00,SEDENTARY,0,0,0,900,900,1696165200,3600,1,SEDENTARY,0,4
01/10/2023 14:15,WALKING,9,346,249.44,900,315,1696166100,3600,2.5089068,ACTIVE,2,2
01/10/2023 14:15,SEDENTARY,0,0,0,900,585,1696166100,3600,1,SEDENTARY,0,4
01/10/2023 14:30,WALKING,5,224,161.48,900,347,1696167000,3600,1.760976,ACTIVE,2,2
01/10/2023 14:30,SEDENTARY,0,0,0,900,553,1696167000,3600,1,SEDENTARY,0,4
01/10/2023 14:45,WALKING,5,505,364.05,900,660,1696167900,3600,1.400089,ACTIVE,1.4,2
01/10/2023 14:45,SEDENTARY,0,0,0,900,240,1696167900,3600,1,SEDENTARY,0,5
01/10/2023 15:00,WALKING,14,770,555.09,900,774,1696168800,3600,1.9552511,ACTIVE,2,2
01/10/2023 15:00,SEDENTARY,0,0,0,900,126,1696168800,3600,1,SEDENTARY,0,5
01/10/2023 15:15,WALKING,17,668,481.57,900,660,1696169700,3600,2.3603024,ACTIVE,2.7,4
01/10/2023 15:15,SEDENTARY,0,0,0,900,240,1696169700,3600,1,SEDENTARY,0,6
01/10/2023 15:30,WALKING,15,801,577.44,900,840,1696170600,3600,1.9430667,ACTIVE,1.6,2
01/10/2023 15:30,SEDENTARY,0,0,0,900,60,1696170600,3600,1,SEDENTARY,0,5
01/10/2023 15:45,WALKING,17,922,664.67,900,840,1696171500,3600,2.068809,ACTIVE,2,2
01/10/2023 15:45,SEDENTARY,0,0,0,900,60,1696171500,3600,1,SEDENTARY,0,5
01/10/2023 16:00,WALKING,11,576,415.23,900,600,1696172400,3600,1.9682152,ACTIVE,2,3
01/10/2023 16:00,SEDENTARY,0,0,0,900,300,1696172400,3600,1,SEDENTARY,0,6
01/10/2023 16:15,WALKING,0,8,5.77,900,60,1696173300,3600,1,ACTIVE,2,2
01/10/2023 16:15,SEDENTARY,0,0,0,900,840,1696173300,3600,1,SEDENTARY,0,5
01/10/2023 16:30,WALKING,14,479,345.31,900,420,1696174200,3600,2.7603912,ACTIVE,2,2
01/10/2023 16:30,SEDENTARY,0,0,0,900,480,1696174200,3600,1,SEDENTARY,0,4
01/10/2023 16:45,WALKING,11,598,431.1,900,540,1696175100,3600,2.0757947,ACTIVE,2.2,3
01/10/2023 16:45,SEDENTARY,0,0,0,900,360,1696175100,3600,1,SEDENTARY,0,4
01/10/2023 17:00,RUNNING,1,30,32.44,900,60,1696176000,3600,1.8801957,HIGHLY_ACTIVE,5,5
01/10/2023 17:00,WALKING,6,118,85.07,900,360,1696176000,3600,1.8801956,ACTIVE,2.5,4
01/10/2023 17:00,SEDENTARY,0,0,0,900,480,1696176000,3600,1,SEDENTARY,0,6
01/10/2023 17:15,WALKING,8,135,97.32,900,480,1696176900,3600,1.8801957,ACTIVE,2.4,3
01/10/2023 17:15,SEDENTARY,0,0,0,900,420,1696176900,3600,1,SEDENTARY,0,6
01/10/2023 17:30,WALKING,8,232,167.25,900,540,1696177800,3600,1.7823961,ACTIVE,2,3
01/10/2023 17:30,SEDENTARY,0,0,0,900,360,1696177800,3600,1,SEDENTARY,0,6
01/10/2023 17:45,WALKING,5,309,222.76,900,720,1696178700,3600,1.3667482,ACTIVE,2.1,3
01/10/2023 17:45,SEDENTARY,0,0,0,900,180,1696178700,3600,1,SEDENTARY,0,6
01/10/2023 18:00,WALKING,7,168,121.11,900,420,1696179600,3600,1.8801956,ACTIVE,2.3,3
01/10/2023 18:00,SEDENTARY,0,0,0,900,480,1696179600,3600,1,SEDENTARY,0,6
01/10/2023 18:15,WALKING,3,132,95.16,900,300,1696180500,3600,1.5281174,ACTIVE,2.8,4
01/10/2023 18:15,SEDENTARY,0,0,0,900,600,1696180500,3600,1,SEDENTARY,0,5
01/10/2023 18:30,WALKING,1,19,13.69,900,60,1696181400,3600,1.8801957,ACTIVE,2,2
01/10/2023 18:30,SEDENTARY,0,0,0,900,840,1696181400,3600,1,SEDENTARY,0,4
01/10/2023 18:45,SEDENTARY,0,0,0.07,900,900,1696182300,3600,1,SEDENTARY,0,2
01/10/2023 19:00,WALKING,2,73,52.63,900,180,1696183200,3600,1.5867971,ACTIVE,2,2
01/10/2023 19:00,SEDENTARY,0,0,0,900,720,1696183200,3600,1,SEDENTARY,0,3
01/10/2023 19:15,SEDENTARY,0,0,0,900,900,1696184100,3600,1,SEDENTARY,0,3
01/10/2023 19:30,WALKING,2,110,79.29,900,135,1696185000,3600,1.7823961,ACTIVE,2,2
01/10/2023 19:30,SEDENTARY,0,0,0,900,765,1696185000,3600,1,SEDENTARY,0,4
01/10/2023 19:45,SEDENTARY,0,0,0,900,900,1696185900,3600,1,SEDENTARY,0,5
01/10/2023 20:00,SEDENTARY,0,0,0,900,900,1696186800,3600,1,SEDENTARY,0,3
01/10/2023 20:15,SEDENTARY,0,0,0,900,900,1696187700,3600,1,SEDENTARY,0,3
01/10/2023 20:30,SEDENTARY,0,0,0,900,900,1696188600,3600,1,SEDENTARY,0,3
01/10/2023 20:45,SEDENTARY,0,0,0,900,900,1696189500,3600,1,SEDENTARY,0,2
01/10/2023 21:00,WALKING,2,94,67.76,900,240,1696190400,3600,1.4400978,ACTIVE,3.8,4
01/10/2023 21:00,SEDENTARY,0,0,0,900,660,1696190400,3600,1,SEDENTARY,0,6
01/10/2023 21:15,WALKING,10,324,233.58,900,744,1696191300,3600,1.7098352,ACTIVE,2.2,3
01/10/2023 21:15,SEDENTARY,0,0,0,900,156,1696191300,3600,1,SEDENTARY,0,6
01/10/2023 21:30,SEDENTARY,0,0,0,900,900,1696192200,3600,1,SEDENTARY,0,3
01/10/2023 21:45,SEDENTARY,0,0,0,900,900,1696193100,3600,1,SEDENTARY,0,5
01/10/2023 22:00,WALKING,1,20,14.41,900,60,1696194000,3600,1.8801957,ACTIVE,1,1
01/10/2023 22:00,SEDENTARY,0,0,0,900,840,1696194000,3600,1,SEDENTARY,0,4
01/10/2023 22:15,SEDENTARY,0,0,0,900,900,1696194900,3600,1,SEDENTARY,0,3
01/10/2023 22:30,SEDENTARY,0,0,0,900,900,1696195800,3600,1,SEDENTARY,0,3
01/10/2023 22:45,SEDENTARY,0,0,0,900,900,1696196700,3600,1,SEDENTARY,0,5
01/10/2023 23:00,WALKING,1,12,8.65,900,60,1696197600,3600,1.8801957,ACTIVE,2,2
01/10/2023 23:00,SEDENTARY,0,0,0,900,840,1696197600,3600,1,SEDENTARY,0,5
01/10/2023 23:15,SEDENTARY,0,0,0,900,900,1696198500,3600,1,SEDENTARY,0,5
01/10/2023 23:30,WALKING,0,17,12.26,900,60,1696199400,3600,1,ACTIVE,3,3
01/10/2023 23:30,SEDENTARY,0,0,0,900,840,1696199400,3600,1,SEDENTARY,0,2
01/10/2023 23:45,SEDENTARY,0,0,0.02,900,900,1696200300,3600,1,SEDENTARY,0,4
02/10/2023 00:00,SEDENTARY,0,0,0,900,900,1696201200,3600,1,SEDENTARY,0,0
02/10/2023 00:15,SEDENTARY,0,0,0,900,900,1696202100,3600,1,SEDENTARY,0,0
02/10/2023 00:30,SEDENTARY,0,0,0,900,900,1696203000,3600,1,SEDENTARY,0,0
02/10/2023 00:45,SEDENTARY,0,0,0,900,900,1696203900,3600,1,SEDENTARY,0,4
02/10/2023 01:00,SEDENTARY,0,0,0,900,900,1696204800,3600,1,SEDENTARY,0,3
02/10/2023 01:15,SEDENTARY,0,0,0,900,900,1696205700,3600,1,SEDENTARY,0,3
02/10/2023 01:30,SEDENTARY,0,0,0,900,900,1696206600,3600,1,SEDENTARY,0,0
02/10/2023 01:45,SEDENTARY,0,0,0,900,900,1696207500,3600,1,SEDENTARY,0,3
02/10/2023 02:00,SEDENTARY,0,0,0,900,900,1696208400,3600,1,SEDENTARY,0,2
02/10/2023 02:15,SEDENTARY,0,0,0,900,900,1696209300,3600,1,SEDENTARY,0,3
02/10/2023 02:30,SEDENTARY,0,0,0,900,900,1696210200,3600,1,SEDENTARY,0,4
02/10/2023 02:45,SEDENTARY,0,0,0,900,900,1696211100,3600,1,SEDENTARY,0,3
02/10/2023 03:00,SEDENTARY,0,0,0,900,900,1696212000,3600,1,SEDENTARY,0,3
02/10/2023 03:15,SEDENTARY,0,0,0,900,900,1696212900,3600,1,SEDENTARY,0,2
